iter	Passed	Remaining
423	2250	3057
424	2254	3050
425	2260	3045
426	2265	3039
427	2269	3032
428	2274	3027
429	2280	3022
430	2284	3015
431	2288	3009
432	2291	3000
433	2294	2992
434	2301	2989
435	2310	2988
436	2314	2981
437	2319	2976
438	2326	2973
439	2331	2966
440	2336	2961
441	2343	2957
442	2346	2949
443	2353	2947
444	2360	2943
445	2363	2936
446	2368	2930
447	2371	2922
448	2377	2917
449	2381	2910
450	2386	2905
451	2393	2902
452	2398	2896
453	2402	2889
454	2405	2881
455	2409	2873
456	2412	2866
457	2416	2859
458	2421	2854
459	2429	2852
460	2438	2850
461	2444	2846
462	2447	2839
463	2452	2833
464	2459	2830
465	2463	2823
466	2467	2816
467	2470	2808
468	2473	2800
469	2479	2795
470	2484	2790
471	2487	2782
472	2491	2775
473	2494	2768
474	2501	2764
475	2505	2758
476	2510	2752
477	2513	2745
478	2518	2739
479	2521	2731
480	2527	2727
481	2533	2723
482	2541	2720
483	2548	2716
484	2551	2709
485	2558	2706
486	2562	2699
487	2569	2696
488	2576	2692
489	2579	2685
490	2584	2679
491	2587	2672
492	2593	2666
493	2596	2659
494	2599	2652
495	2602	2644
496	2605	2637
497	2608	2629
498	2612	2623
499	2616	2616
500	2621	2611
501	2625	2604
502	2629	2598
503	2634	2592
504	2642	2590
505	2649	2586
506	2654	2580
507	2657	2573
508	2660	2566
509	2663	2559
510	2666	2551
511	2671	2546
512	2677	2542
513	2684	2537
514	2688	2532
515	2694	2527
516	2698	2520
517	2703	2515
518	2709	2510
519	2712	2503
520	2715	2496
521	2718	2489
522	2723	2484
523	2730	2480
524	2739	2478
525	2745	2473
526	2751	2469
527	2758	2465
528	2763	2460
529	2769	2456
530	2773	2449
531	2778	2444
532	2781	2437
533	2784	2430
534	2788	2423
535	2791	2416
536	2796	2410
537	2800	2404
538	2805	2399
539	2810	2393
540	2813	2386
541	2816	2380
542	2819	2373
543	2823	2366
544	2828	2361
545	2837	2359
546	2841	2353
547	2844	2346
548	2849	2340
549	2852	2333
550	2856	2327
551	2859	2320
552	2864	2315
553	2868	2308
554	2874	2304
555	2878	2298
556	2883	2293
557	2886	2286
558	2894	2283
559	2900	2279
560	2906	2274
561	2914	2271
562	2921	2267
563	2929	2264
564	2933	2258
565	2936	2251
566	2940	2245
567	2943	2238
568	2947	2232
569	2953	2227
570	2956	2221
571	2961	2216
572	2968	2212
573	2976	2209
574	2983	2205
575	2987	2198
576	2992	2194
577	2996	2188
578	3000	2181
579	3005	2176
580	3010	2171
581	3016	2166
582	3023	2162
583	3031	2159
584	3037	2154
585	3045	2151
586	3052	2147
587	3058	2143
588	3063	2137
589	3068	2132
590	3072	2126
591	3076	2120
592	3079	2113
593	3083	2107
594	3086	2100
595	3090	2094
596	3095	2089
597	3101	2084
598	3108	2080
599	3112	2075
600	3118	2070
601	3126	2067
602	3134	2063
603	3138	2057
604	3143	2052
605	3147	2046
606	3155	2043
607	3160	2037
608	3165	2032
609	3169	2026
610	3172	2020
611	3175	2013
612	3179	2007
613	3184	2002
614	3192	1998
615	3195	1992
616	3199	1986
617	3204	1981
618	3207	1974
619	3211	1968
620	3217	1963
621	3224	1959
622	3231	1955
623	3234	1949
624	3241	1944
625	3248	1941
626	3255	1936
627	3261	1931
628	3267	1927
629	3271	1921
630	3276	1915
631	3282	1911
632	3289	1907
633	3293	1901
634	3298	1896
635	3306	1892
636	3311	1887
637	3315	1881
638	3318	1874
639	3324	1869
640	3332	1866
641	3336	1860
642	3340	1854
643	3346	1849
644	3352	1845
645	3358	1840
646	3365	1836
647	3371	1831
648	3376	1826
649	3382	1821
650	3388	1816
651	3391	1810
652	3394	1803
653	3399	1798
654	3403	1792
655	3409	1787
656	3412	1781
657	3416	1775
658	3424	1771
659	3430	1767
660	3433	1761
661	3441	1756
662	3448	1752
663	3456	1748
664	3460	1743
665	3465	1737
666	3470	1732
667	3475	1727
668	3478	1721
669	3484	1716
670	3487	1710
671	3493	1705
672	3499	1700
673	3503	1694
674	3509	1689
675	3513	1684
676	3516	1677
677	3525	1674
678	3531	1669
679	3537	1664
680	3542	1659
681	3547	1654
682	3553	1649
683	3556	1643
684	3561	1637
685	3567	1632
686	3575	1628
687	3578	1623
688	3585	1618
689	3591	1613
690	3596	1608
691	3601	1602
692	3604	1596
693	3607	1590
694	3611	1584
695	3621	1581
696	3627	1577
697	3633	1572
698	3637	1566
699	3640	1560
700	3646	1555
701	3653	1551
702	3658	1545
703	3664	1540
704	3670	1535
705	3673	1529
706	3678	1524
707	3686	1520
708	3690	1514
709	3697	1510
710	3703	1505
711	3709	1500
712	3716	1495
713	3725	1492
714	3732	1487
715	3737	1482
716	3742	1477
717	3750	1472
718	3757	1468
719	3762	1463
720	3767	1458
721	3770	1451
722	3774	1445
723	3779	1440
724	3783	1434
725	3788	1429
726	3794	1425
727	3800	1420
728	3805	1414
729	3810	1409
730	3816	1404
731	3823	1399
732	3832	1396
733	3840	1391
734	3845	1386
735	3851	1381
736	3855	1375
737	3859	1370
738	3862	1364
739	3868	1359
740	3872	1353
741	3877	1348
742	3884	1343
743	3892	1339
744	3895	1333
745	3901	1328
746	3906	1323
747	3910	1317
748	3913	1311
749	3922	1307
750	3928	1302
751	3931	1296
752	3934	1290
753	3937	1284
754	3945	1280
755	3948	1274
756	3951	1268
757	3957	1263
758	3961	1257
759	3967	1252
760	3973	1247
761	3980	1243
762	3985	1238
763	3991	1232
764	3997	1227
765	4003	1222
766	4010	1218
767	4014	1212
768	4020	1207
769	4024	1202
770	4028	1196
771	4032	1190
772	4035	1185
773	4039	1179
774	4042	1173
775	4048	1168
776	4055	1163
777	4063	1159
778	4066	1153
779	4073	1148
780	4078	1143
781	4081	1137
782	4085	1132
783	4091	1127
784	4096	1121
785	4103	1117
786	4110	1112
787	4117	1107
788	4125	1103
789	4131	1098
790	4138	1093
791	4142	1087
792	4148	1083
793	4156	1078
794	4163	1073
795	4171	1069
796	4176	1063
797	4181	1058
798	4185	1052
799	4189	1047
800	4194	1042
801	4202	1037
802	4209	1032
803	4213	1027
804	4219	1022
805	4230	1018
806	4237	1013
807	4241	1007
808	4244	1002
809	4248	996
810	4257	992
811	4263	987
812	4269	982
813	4276	977
814	4284	972
815	4288	966
816	4293	961
817	4299	956
818	4305	951
819	4310	946
820	4317	941
821	4326	936
822	4331	931
823	4337	926
824	4343	921
825	4351	916
826	4357	911
827	4365	906
828	4373	902
829	4378	896
830	4381	891
831	4384	885
832	4388	879
833	4393	874
834	4398	869
835	4405	864
836	4410	858
837	4413	853
838	4424	849
839	4430	843
840	4436	838
841	4440	833
842	4443	827
843	4446	821
844	4452	816
845	4459	811
846	4467	806
847	4472	801
848	4477	796
849	4482	791
850	4488	785
851	4491	780
852	4495	774
853	4500	769
854	4504	763
855	4508	758
856	4514	753
857	4526	749
858	4534	744
859	4538	738
860	4544	733
861	4551	728
862	4554	723
863	4557	717
864	4563	712
865	4567	706
866	4572	701
867	4575	695
868	4578	690
869	4581	684
870	4586	679
871	4591	673
872	4598	668
873	4601	663
874	4607	658
875	4610	652
876	4613	647
877	4621	642
878	4625	636
879	4629	631
880	4632	625
881	4642	621
882	4646	615
883	4650	610
884	4655	604
885	4662	599
886	4668	594
887	4672	589
888	4679	584
889	4683	578
890	4687	573
891	4690	567
892	4694	562
893	4699	557
894	4705	552
895	4709	546
896	4712	541
897	4724	536
898	4729	531
899	4733	525
900	4736	520
901	4739	514
902	4745	509
903	4751	504
904	4755	499
905	4758	493
906	4762	488
907	4768	483
908	4771	477
909	4777	472
910	4779	466
911	4782	461
912	4785	456
913	4791	450
914	4796	445
915	4799	440
916	4802	434
917	4806	429
918	4812	424
919	4819	419
920	4825	413
921	4831	408
922	4837	403
923	4840	398
924	4844	392
925	4849	387
926	4855	382
927	4862	377
928	4869	372
929	4875	366
930	4879	361
931	4882	356
932	4885	350
933	4888	345
934	4893	340
935	4899	335
936	4905	329
937	4912	324
938	4919	319
939	4927	314
940	4932	309
941	4938	304
942	4943	298
943	4949	293
944	4955	288
945	4962	283
946	4968	278
